Base,Comm,Agent_number,Dataset,Pred_length,MSE,MAE
Hete,chain,4,ETTh2,720,0.4278276860713959,0.4569401144981384
Hete,chain,20,ETTh2,336,0.3742864727973938,0.4082482159137726
Hete,chain,8,ETTh2,192,0.39384931325912476,0.4100973904132843
Hete,chain,24,ETTh2,96,0.29164135456085205,0.342393696308136
Hete,chain,24,ETTh2,720,0.42046284675598145,0.447479248046875
Hete,chain,4,ETTh2,336,0.3807508945465088,0.4116781949996948
Hete,chain,12,ETTh2,96,0.29059329628944397,0.34229448437690735
Hete,chain,12,ETTh2,192,0.3819599449634552,0.4040253758430481
Hete,chain,8,ETTh2,96,0.29077571630477905,0.3423437774181366
Hete,chain,16,ETTh2,720,0.4196327030658722,0.4459160268306732
Hete,chain,20,ETTh2,720,0.4157036244869232,0.44631949067115784
Hete,chain,4,ETTh2,96,0.30286574363708496,0.3511091470718384
Hete,chain,8,ETTh2,720,0.43237772583961487,0.4581756889820099
Hete,chain,24,ETTh2,336,0.3780418038368225,0.40842127799987793
Hete,chain,12,ETTh2,720,0.4179021418094635,0.4466913342475891
Hete,chain,12,ETTh2,336,0.3975628614425659,0.4204508066177368
Hete,chain,20,ETTh2,192,0.37417370080947876,0.39663514494895935
Hete,chain,24,ETTh2,192,0.3629343509674072,0.39314189553260803
Hete,chain,16,ETTh2,336,0.3758721947669983,0.4099731743335724
Hete,chain,8,ETTm1,336,0.39530643820762634,0.40346091985702515
Hete,chain,16,ETTm1,192,0.3524983525276184,0.3785417079925537
Hete,chain,4,ETTm1,192,0.35192587971687317,0.37916094064712524
Hete,chain,16,ETTm1,96,0.329489529132843,0.36333566904067993
Hete,chain,20,ETTm1,96,0.33466246724128723,0.36687958240509033
Hete,chain,4,ETTm1,720,0.4328141510486603,0.4267997741699219
Hete,chain,20,ETTm1,336,0.39927616715431213,0.4059184491634369
Hete,chain,8,ETTm1,192,0.3463405966758728,0.3756949305534363
Hete,chain,24,ETTm1,96,0.3323727250099182,0.36578238010406494
Hete,chain,24,ETTm1,720,0.4753579795360565,0.4441276788711548
Hete,chain,4,ETTm1,336,0.39229831099510193,0.4037722945213318
Hete,chain,12,ETTm1,96,0.3332456648349762,0.36650291085243225
Hete,chain,12,ETTm1,192,0.3493497967720032,0.37688544392585754
Hete,chain,8,ETTm1,96,0.32900819182395935,0.36481282114982605
Hete,chain,16,ETTm1,720,0.44561970233917236,0.43439462780952454
Hete,chain,20,ETTm1,720,0.4523063004016876,0.4368039071559906
Hete,chain,4,ETTm1,96,0.33960041403770447,0.3673561215400696
Hete,chain,8,ETTm1,720,0.4420776665210724,0.43247827887535095
